topology,seed,scenario,mode,steps,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
chain,0,zero,standard,2100,0.0984393958722368,0.000935242200500284,1.2708614920227774,1.705006265059513,0.1619420002859669,0.29949960181068547,0.0,1.707703664497324,0.3022254088809725,0.0,310.5931691214739,0.24677569007538475,0.12
chain,0,zero,gated,2100,0.0984393958722368,0.000935242200500284,0.0727643806096001,7.804269063523561e-297,0.00047814152568984215,0.0,0.0,0.00012393047961597965,4.3958216118310796e-07,0.0,0.10065489595940173,0.01648810222507218,0.005920829766942396
chain,0,partial,standard,2100,0.0984393958722368,0.000935242200500284,1.2436477536334982,3.9082296532404803,0.1394557255115367,1.3489047567406596,0.35712084401676997,3.9623107421866943,1.464409977201264,0.35686303652108,761.1771188799273,1.0,0.12
chain,0,partial,gated,2100,0.0984393958722368,0.000935242200500284,0.7623488760111794,3.5342012891860426,0.0711800591222154,1.4496958028996327,0.35705258390306055,3.492155005148562,1.3963922227198369,0.35770167318244084,471.98512150841,1.0,0.12
chain,1,zero,standard,2100,0.10078616614583996,0.001418239361307898,1.290222731100571,1.825460811744806,0.1670716948254449,0.3332642808827469,0.0,1.825613555769727,0.3333702187082351,0.0,29.33847767657447,0.25742410092352935,0.12
chain,1,zero,gated,2100,0.10078616614583996,0.001418239361307898,0.07077962344538159,1.3773777434066012e-297,0.0006933527124335351,0.0,0.0,0.000105914217728679,6.16119082340568e-07,0.0,0.10091954611651378,0.016377918391833425,0.0066374685769694025
chain,1,partial,standard,2100,0.10078616614583996,0.001418239361307898,1.2489457138950992,4.44626858780941,0.13319265814439316,1.85632617832706,0.35330012372269565,4.441632015973105,1.852868896641609,0.35336506427473957,11.880294542951617,1.0,0.12
chain,1,partial,gated,2100,0.10078616614583996,0.001418239361307898,0.7618457429096411,3.781222372158853,0.0711702786205841,1.68420354265807,0.3536418603819325,3.7766533844036774,1.680763785661037,0.353706738120005,8.281748079344739,1.0,0.12
chain,2,zero,standard,2100,0.10599803867110773,0.001111878736130286,1.1679407030430597,1.5144610638957725,0.14503977482765812,0.2899313488121935,0.0,1.5849473433172416,0.2770827980960932,0.0,579.8728186850251,0.2699066633649726,0.12
chain,2,zero,gated,2100,0.10599803867110773,0.001111878736130286,0.07755509740551225,6.551584992729973e-297,0.0005356619736502221,0.0,0.0,0.0001251233647821845,4.80874020777001e-07,0.0,0.1074196590164814,0.015291778776297407,0.0060701821803871335
chain,2,partial,standard,2100,0.10599803867110773,0.001111878736130286,1.29481507378342,4.152207130053056,0.10693605728513317,1.4713423500420504,0.3554896127200629,4.088877772405062,1.3644971894430087,0.35659404470590905,606.7139723286973,1.0,0.12
chain,2,partial,gated,2100,0.10599803867110773,0.001111878736130286,0.8001933803709848,3.619396439553181,0.03903436450240857,1.5010045117762145,0.35582237418144375,3.4916782511713476,1.3956261656805198,0.3577065407470143,468.1774126786008,1.0,0.12
chain,3,zero,standard,2100,0.06048054034803931,0.0007506739339190275,1.236645336779942,1.825460811744806,0.153559872654604,0.33326428088274695,0.0,1.8255753431803121,0.3333568125703741,0.0,28.79616131128451,0.2578862847343032,0.12
chain,3,zero,gated,2100,0.06048054034803931,0.0007506739339190275,0.044119480476537506,1.6929079595727565e-297,0.0003682466036116179,0.0,0.0,6.575157395792585e-05,3.150871023910558e-07,0.0,0.061524095757764616,0.013086903660603135,0.005551603903873302
