parameter,value,scenario,mode,steps,seed,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
kappa,0.1,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.2174392937990997,1.6536084318341167,0.14996146719994494,0.2994698557211337,0.0,1.624315394976087,0.2771745087758957,0.0,119.633412673997,0.25654455866949627,0.12
kappa,0.1,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.04197822120001795,2.507298979621966e-44,0.00017376288390800137,1.0247678504090934e-96,0.0,0.0005024539670721196,1.2067429486425183e-06,0.0,0.06676750696427508,0.010465475758304359,0.005326652396769556
kappa,0.1,full,standard,100,42,0.0,0.0,1.2000000000000002,5.7672076124780745,7.703719777548943e-33,1.2382847093824694,0.42518794415145356,5.597531574464687,1.2038458243075483,0.42710821892789086,32.77156320758408,1.0,0.12
kappa,0.1,full,gated,100,42,0.0,0.0,1.2000000000000002,5.7672076124780745,7.703719777548943e-33,1.2382847093824694,0.42518794415145356,5.597531574464687,1.2038458243075483,0.42710821892789086,32.77156320758408,1.0,0.12
kappa,0.1,partial,standard,200,42,0.0,0.0,0.6,4.409470069379854,0.036,1.9724512874787214,0.352102165175674,4.353713365356453,1.8792507163706245,0.35341096626830776,80.22138060473775,1.0,0.12
kappa,0.1,partial,gated,200,42,0.0,0.0,0.6,3.9090189162618088,0.036,1.8304278097318074,0.3520610836581762,3.786324097275706,1.7141351058407686,0.35339873009466266,74.87257178777503,1.0,0.12
kappa,0.2,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
kappa,0.2,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
kappa,0.2,full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
kappa,0.2,full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
kappa,0.2,partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
kappa,0.2,partial,gated,200,42,0.0,0.0,0.6,3.7844135498750675,0.036,1.770436247908911,0.35305259719550036,3.7525394697674512,1.7479642969451876,0.3533817102559763,52.06520421167531,1.0,0.12
kappa,0.4,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1213816954083418,1.5285791373675428,0.1351979158319537,0.25716996036992357,0.0,1.490927240288061,0.25539366849675427,0.0,109.21773577105112,0.2557921281550739,0.12
kappa,0.4,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.050115464069777294,3.0075116256975437e-44,0.00026358264140081153,4.8718207172620886e-92,0.0,0.0005959177404845466,1.80363262984937e-06,0.0,0.06632676701405606,0.0120436712745797,0.003748456880494215
kappa,0.4,full,standard,100,42,0.0,0.0,1.2000000000000002,5.945876381820453,7.703719777548943e-33,1.4046241946453593,0.4228315905181149,5.789793362437067,1.3541803150283442,0.42489763694388527,21.071786095127607,1.0,0.12
kappa,0.4,full,gated,100,42,0.0,0.0,1.2000000000000002,5.945876381820453,7.703719777548943e-33,1.4046241946453593,0.4228315905181149,5.789793362437067,1.3541803150283442,0.42489763694388527,21.071786095127607,1.0,0.12
kappa,0.4,partial,standard,200,42,0.0,0.0,0.6,4.498687089810376,0.036,1.7434547839603318,0.35095005016849906,4.4155991540855,1.9133768733308705,0.35286528800338457,56.24266980416422,1.0,0.12
kappa,0.4,partial,gated,200,42,0.0,0.0,0.6,3.7629881811609915,0.036,1.823175069454778,0.3525728716059891,3.739419432776412,1.7656349457870366,0.35325965298001727,44.87890776092831,1.0,0.12
eps_s,0.05,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.2533729207834348,1.3999829355514577,0.1572799679332375,0.24064554427659504,0.0,1.4923928132645947,0.2599925421405627,0.0,112.42054656801778,0.24542560043585965,0.12
eps_s,0.05,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
eps_s,0.05,full,standard,100,42,0.0,0.0,1.2000000000000002,5.662302344356071,7.703719777548943e-33,1.3113316594071782,0.4263158544421234,5.618906186253594,1.217709068803352,0.4270436782473766,23.91136337654328,1.0,0.12
eps_s,0.05,full,gated,100,42,0.0,0.0,1.2000000000000002,5.662302344356071,7.703719777548943e-33,1.3113316594071782,0.4263158544421234,5.618906186253594,1.217709068803352,0.4270436782473766,23.91136337654328,1.0,0.12
eps_s,0.05,partial,standard,200,42,0.0,0.0,0.6,4.49393583335717,0.036,1.9615348712992704,0.3516234585407832,4.462512236849921,1.9017352732821389,0.35252560303934166,51.08346073421174,1.0,0.12
eps_s,0.05,partial,gated,200,42,0.0,0.0,0.6,3.7609467566100747,0.036,1.7001650377100002,0.35360593032666504,3.735806499050076,1.7318766907523355,0.3536192718078865,51.379878561036335,1.0,0.12
eps_s,0.1,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
